Datetime,Direction,Pattern,Score,ADX,Close,SL,TP
2024-04-12 09:30:00,BUY,Bullish Inside Bar,8,44.70740261655646,2395.567,2393.843,2400.7390000000005
2024-04-12 10:15:00,BUY,Bullish Engulfing,10,43.36397598020338,2399.531,2395.421,2411.8610000000003
2024-04-25 10:45:00,BUY,Bullish Engulfing,8,32.796335596769275,2328.076,2324.66,2338.3240000000005
2024-04-25 11:30:00,BUY,Bullish Engulfing,9,36.391921880101826,2330.509,2326.178,2343.5020000000004
2024-04-25 14:15:00,BUY,Morning Star,6,25.809456267548775,2324.901,2320.248,2338.859999999999
2024-05-01 16:15:00,BUY,Bullish Pin Bar,7,39.178442367009964,2305.765,2301.318,2319.105999999999
2024-05-06 06:45:00,BUY,Bullish Engulfing,8,34.65284156871767,2314.141,2311.853,2321.005
2024-05-06 09:15:00,BUY,Bullish Pin Bar,8,39.49126383813777,2318.273,2315.089,2327.8250000000007
2024-05-17 17:00:00,BUY,Bullish Engulfing,10,49.09653415759116,2410.62,2405.235,2426.774999999999
2024-05-29 11:30:00,SELL,Bearish Engulfing,8,35.224595014575826,2343.356,2345.475,2336.999000000001
2024-05-29 14:30:00,SELL,Bearish Pin Bar,9,44.923711805488665,2343.176,2346.967,2331.8029999999994
2024-05-29 18:45:00,SELL,Three Black Crows,8,37.441351449704044,2338.201,2340.219,2332.147
2024-06-03 20:15:00,BUY,Bullish Inside Bar,7,32.29405921287135,2348.88,2347.308,2353.5960000000005
2024-06-04 14:00:00,SELL,Bearish Pin Bar,9,32.99822606254692,2321.269,2332.986,2286.1179999999995
2024-06-06 04:15:00,BUY,Bullish Inside Bar,8,45.06090363882151,2368.871,2366.697,2375.393
2024-06-07 17:30:00,SELL,Bearish Inside Bar,7,48.88047194456993,2305.89,2308.579,2297.822999999999
2024-06-10 06:30:00,SELL,Bearish Pin Bar,9,26.171815067404992,2288.791,2294.833,2270.6650000000004
2024-06-11 05:15:00,SELL,Evening Star,9,38.0542091963821,2301.046,2303.358,2294.1099999999988
2024-06-17 10:30:00,SELL,Evening Star,7,26.463180236330288,2320.205,2323.015,2311.775
2024-06-20 22:15:00,BUY,Bullish Inside Bar,6,35.380157494452455,2359.59,2357.782,2365.014
2024-06-25 15:30:00,SELL,Hanging Man,6,30.532428691855575,2320.055,2321.549,2315.5729999999994
2024-06-25 16:15:00,SELL,Evening Star,8,30.29621846976418,2318.676,2323.941,2302.8810000000003
