date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-08-10,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Wednesday
2022-08-11,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Thursday
2022-08-15,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Monday
2022-08-16,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Tuesday
2022-08-17,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Wednesday
2022-08-18,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Thursday
2022-08-22,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Monday
2022-08-23,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Tuesday
2022-08-24,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Wednesday
2022-08-25,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Thursday
2022-08-29,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Monday
2022-08-30,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Tuesday
2022-08-31,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Wednesday
2022-09-01,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Thursday
2022-09-06,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Tuesday
2022-09-07,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Wednesday
2022-09-08,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Thursday
2022-09-12,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Monday
2022-09-13,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Tuesday
2022-09-14,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Wednesday
2022-09-15,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Thursday
2022-09-19,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Monday
2022-09-20,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Tuesday
2022-09-21,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Wednesday
2022-09-22,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Thursday
2022-09-26,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Monday
2022-09-27,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Tuesday
2022-09-28,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Wednesday
2022-09-29,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,9,Thursday
2022-10-03,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Monday
2022-10-04,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Tuesday
2022-10-05,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Wednesday
2022-10-06,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Thursday
2022-10-10,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Monday
